title,price,location,url,description
Cars in Kenya,"KSh 750,000","Nairobi, Nairobi Central",https://jiji.co.ke/price-valuation?categoryId=29,"Cars in Kenya< KSh 790.0 KKSh 790 K  - 1.3 MKSh 1.3  - 2.3 M> KSh 2.3 MToyotaNissanMazdaMercedes-BenzSubaruHondaVolkswagenSort by:RecommendedAny timeKSh 750,000Suzuki Alto 660cc FWD 2018 Purple660cc F"
Sort by:RecommendedAny time,,,,Sort by:RecommendedAny time
RecommendedAny time,,,,RecommendedAny time
Recommended,,,,Recommended
Any time,,,,Any time
Suzuki Alto 660cc FWD 2018 Purple,"KSh 750,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/cars/suzuki-alto-660cc-fwd-2018-purple-jVU1M7GQtUuyppNgwvPx0Qrc.html?page=1&pos=1&cur_pos=1&ads_per_page=24&ads_count=8180&lid=ctvclkeuq4hFuVH9&indexPosition=0,"KSh 750,000Suzuki Alto 660cc FWD 2018 Purple660cc FW,manufacture 2018,
Air conditioning, air bags .Foreign UsedAutomaticNairobi, Nairobi CentralKSh 1,050,000Toyota Estima 2013 BlueToyota Estima year 2"
"KSh 750,000","KSh 750,000",,,"KSh 750,000"
"660cc FW,manufacture 2018,",,"Nairobi, Nairobi Central",,"660cc FW,manufacture 2018,
Air conditioning, air bags .Foreign UsedAutomaticNairobi, Nairobi Central"
Toyota Estima 2013 Blue,"KSh 1,050,000","Kajiado, Kitengela",https://jiji.co.ke/kitengela/cars/toyota-estima-2013-blue-cJhfij93VzfaGLyGCBfPxkfr.html?page=1&pos=4&cur_pos=4&ads_per_page=24&ads_count=8180&lid=ctvclkeuq4hFuVH9&indexPosition=3,"KSh 1,050,000Toyota Estima 2013 BlueToyota Estima year 2013 Extras ABS,Xenon Lights,Fog Lamps,Power Steering, Power Mirror,Power...Local UsedAutomaticKajiado, Kitengela"
"KSh 1,050,000","KSh 1,050,000",,,"KSh 1,050,000"
"Toyota Estima year 2013 Extras ABS,Xenon Lights,Fog Lamps,Power Steering, Power Mirror,Power...Local UsedAutomaticKajiado, Kitengela",,"Kajiado, Kitengela",,"Toyota Estima year 2013 Extras ABS,Xenon Lights,Fog Lamps,Power Steering, Power Mirror,Power...Local UsedAutomaticKajiado, Kitengela"
"Toyota Estima year 2013 Extras ABS,Xenon Lights,Fog Lamps,Power Steering, Power Mirror,Power...",,,,"Toyota Estima year 2013 Extras ABS,Xenon Lights,Fog Lamps,Power Steering, Power Mirror,Power..."
"Kajiado, Kitengela",,"Kajiado, Kitengela",,"Kajiado, Kitengela"
Toyota Corolla 2000 White,"KSh 395,000","Nairobi, Umoja",https://jiji.co.ke/umoja/cars/toyota-corolla-2000-white-3DgHlmBdhjdTzH4Q5brrJjwb.html?page=1&pos=7&cur_pos=7&ads_per_page=24&ads_count=8180&lid=ctvclkeuq4hFuVH9&indexPosition=6,"KSh 395,000Toyota Corolla 2000 WhiteToyota sprinter 1500cc,auto,well kept,owner selling.quick sellForeign UsedAutomaticNairobi, Umoja"
"KSh 395,000","KSh 395,000",,,"KSh 395,000"
"Toyota sprinter 1500cc,auto,well kept,owner selling.quick sellForeign UsedAutomaticNairobi, Umoja",,"Nairobi, Umoja",,"Toyota sprinter 1500cc,auto,well kept,owner selling.quick sellForeign UsedAutomaticNairobi, Umoja"
"Toyota sprinter 1500cc,auto,well kept,owner selling.quick sell",,,,"Toyota sprinter 1500cc,auto,well kept,owner selling.quick sell"
"Nairobi, Umoja",,"Nairobi, Umoja",,"Nairobi, Umoja"
Mercedes-Benz S-Class S 280 (W140) 1995 Silver,"KSh 1,300,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/cars/mercedes-benz-s-class-s-280-w140-1995-silver-d3zWjktnTHflsxk0LViy22MW.html?page=1&pos=10&cur_pos=10&ads_per_page=24&ads_count=8180&lid=ctvclkeuq4hFuVH9&indexPosition=9,"KSh 1,300,000Mercedes-Benz S-Class S 280 (W140) 1995 SilverMercedes Benz S280
W140 Model
Reg. KAG
YoM 1995
Rating 2800cc
Straight 6 Cylinder...Local UsedAutomaticNairobi, Nairobi Central"
"KSh 1,300,000","KSh 1,300,000",,,"KSh 1,300,000"
Mercedes Benz S280,,"Nairobi, Nairobi Central",,"Mercedes Benz S280
W140 Model
Reg. KAG
YoM 1995
Rating 2800cc
Straight 6 Cylinder...Local UsedAutomaticNairobi, Nairobi Central"
